Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
11 - 42 | 0.000566994
11 - 43 | 0.000378577
11 - 44 | 0.000412179
11 - 45 | 0.000138146
11 - 46 | 1.05951e-06
11 - 47 | 0.000118051
11 - 48 | 7.07841e-05
11 - 49 | -0.000441609
11 - 50 | -0.000123779
11 - 51 | -0.000177793
11 - 52 | -0.000106333
11 - 53 | -3.2875e-05
11 - 54 | 0.00022347
11 - 55 | 2.81094e-05
11 - 56 | 8.56963e-05
11 - 57 | 4.12667e-06
11 - 58 | 0.000158244
11 - 59 | -6.26331e-05
11 - 60 | -0.000133848
11 - 61 | -3.21925e-05
11 - 62 | -5.75195e-05
11 - 63 | 1.65426e-05
11 - 64 | 0.000169245
11 - 65 | 5.73734e-05
11 - 66 | 4.64333e-06
12 - 0 | 0.00137169
12 - 1 | 0.00108995
12 - 2 | 1.6076e-06
12 - 3 | 0.00039034
12 - 4 | 0.00205273
12 - 5 | 0.0021803
12 - 6 | 0.000840725
12 - 7 | 1.19591e-06
12 - 8 | 0.00062676
12 - 9 | 3.26052e-05
12 - 10 | 0.00135414
12 - 11 | 0.0016212
12 - 12 | 0.00186336
12 - 13 | 0.000115804
12 - 14 | 1.59513e-06
12 - 15 | 0.000306244
12 - 16 | 4.39984e-06
12 - 17 | 0.000809102
12 - 18 | 0.00104254
12 - 19 | 0.00117489
12 - 20 | 0.00044891
12 - 21 | 4.57326e-06
12 - 22 | 0.000413069
12 - 23 | -8.61555e-05
12 - 24 | 0.000577451
12 - 25 | 0.000660115
12 - 26 | 0.000697744
12 - 27 | 0.000654528
12 - 28 | 0.000413118
12 - 29 | 2.21486e-06
12 - 30 | 0.000100587
12 - 31 | -7.79957e-05
12 - 32 | 0.000246628
12 - 33 | 0.00048193
12 - 34 | 0.000498341
12 - 35 | 0.000307882
12 - 36 | 0.000350099
12 - 37 | 0.000193126
12 - 38 | 7.95008e-07
12 - 39 | 0.000130439
12 - 40 | -0.000241587
12 - 41 | 0.000535364
12 - 42 | 0.000178694
12 - 43 | 0.000392968
12 - 44 | 0.000185167
12 - 45 | 0.000110651
12 - 46 | 1.97005e-06
12 - 47 | 0.000101093
12 - 48 | -7.70182e-05
12 - 49 | 0.000126073
12 - 50 | -9.25526e-05
12 - 51 | -9.82869e-06
12 - 52 | -3.47895e-05
12 - 53 | 7.4667e-05
12 - 54 | 0.000129897
12 - 55 | 0.000174585
12 - 56 | 4.63739e-05
12 - 57 | 4.90888e-06
