Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
11 - 61 | 0.00206994
11 - 62 | 0.000808514
11 - 63 | 0.00164388
11 - 64 | 0.00194117
11 - 65 | 0.00192654
11 - 66 | 8.78831e-05
12 - 0 | 0.00121018
12 - 1 | 0.000985356
12 - 2 | 1.28798e-06
12 - 3 | 0.000987772
12 - 4 | 0.00343272
12 - 5 | 0.00261493
12 - 6 | 0.00110934
12 - 7 | 1.74701e-06
12 - 8 | 0.000846611
12 - 9 | 0.00302524
12 - 10 | 0.00338658
12 - 11 | 0.00443402
12 - 12 | 0.00306502
12 - 13 | 0.000338824
12 - 14 | 2.25611e-06
12 - 15 | 0.000493833
12 - 16 | 0.00232491
12 - 17 | 0.00390734
12 - 18 | 0.00433821
12 - 19 | 0.00367307
12 - 20 | 0.00121063
12 - 21 | 1.03968e-05
12 - 22 | 0.00061939
12 - 23 | 0.00234516
12 - 24 | 0.0036049
12 - 25 | 0.00440272
12 - 26 | 0.00286801
12 - 27 | 0.00226506
12 - 28 | 0.00156628
12 - 29 | 8.08388e-06
12 - 30 | 0.000246223
12 - 31 | 0.00181829
12 - 32 | 0.0035239
12 - 33 | 0.00409372
12 - 34 | 0.0048752
12 - 35 | 0.00220589
12 - 36 | 0.00136894
12 - 37 | 0.000828477
12 - 38 | 2.39822e-06
12 - 39 | 0.000561841
12 - 40 | 0.00309062
12 - 41 | 0.0038937
12 - 42 | 0.00224897
12 - 43 | 0.00277139
12 - 44 | 0.001667
12 - 45 | 0.000536906
12 - 46 | 7.22077e-06
12 - 47 | 0.000460519
12 - 48 | 0.0017152
12 - 49 | 0.00292977
12 - 50 | 0.00386162
12 - 51 | 0.00246145
12 - 52 | 0.00262627
12 - 53 | 0.00184859
12 - 54 | 0.00122681
12 - 55 | 0.00147347
12 - 56 | 0.000547854
12 - 57 | 1.86393e-05
12 - 58 | 0.000618781
12 - 59 | 0.00107021
12 - 60 | 0.0016057
12 - 61 | 0.00143085
12 - 62 | 0.000558885
12 - 63 | 0.00113633
12 - 64 | 0.00134183
12 - 65 | 0.00133172
12 - 66 | 6.07492e-05
13 - 0 | 0.00013378
13 - 1 | 0.000108927
13 - 2 | 1.4238e-07
13 - 3 | 0.000109194
13 - 4 | 0.000379471
13 - 5 | 0.000289068
13 - 6 | 0.000122633
13 - 7 | 1.93124e-07
13 - 8 | 9.35889e-05
13 - 9 | 0.000334426
13 - 10 | 0.000374371
13 - 11 | 0.000490161
13 - 12 | 0.000338824
13 - 13 | 3.74554e-05
13 - 14 | 2.49403e-07
13 - 15 | 5.45909e-05
13 - 16 | 0.000257007
13 - 17 | 0.000431938
13 - 18 | 0.000479569
13 - 19 | 0.000406041
13 - 20 | 0.000133829
13 - 21 | 1.14931e-06
13 - 22 | 6.84707e-05
13 - 23 | 0.000259246
13 - 24 | 0.000398504
13 - 25 | 0.0004867
13 - 26 | 0.000317045
13 - 27 | 0.000250392
13 - 28 | 0.000173145
13 - 29 | 8.93635e-07
13 - 30 | 2.72188e-05
13 - 31 | 0.000201003
13 - 32 | 0.000389551
13 - 33 | 0.000452542
13 - 34 | 0.00053893
13 - 35 | 0.000243851
13 - 36 | 0.00015133
13 - 37 | 9.15843e-05
13 - 38 | 2.65112e-07
13 - 39 | 6.21089e-05
13 - 40 | 0.000341654
13 - 41 | 0.00043043
13 - 42 | 0.000248613
13 - 43 | 0.000306364
13 - 44 | 0.000184279
13 - 45 | 5.93525e-05
13 - 46 | 7.98223e-07
13 - 47 | 5.09082e-05
13 - 48 | 0.000189607
13 - 49 | 0.000323873
13 - 50 | 0.000426884
13 - 51 | 0.000272102
13 - 52 | 0.000290322
13 - 53 | 0.000204353
13 - 54 | 0.000135618
13 - 55 | 0.000162885
13 - 56 | 6.05628e-05
13 - 57 | 2.06049e-06
13 - 58 | 6.84033e-05
13 - 59 | 0.000118306
13 - 60 | 0.000177502
13 - 61 | 0.000158174
13 - 62 | 6.17821e-05
13 - 63 | 0.000125616
13 - 64 | 0.000148333
13 - 65 | 0.000147216
