Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
10 - 58 | -3.10495e-05
10 - 59 | 0.000194393
10 - 60 | 0.000489952
10 - 61 | 0.00100297
10 - 62 | -0.000768099
10 - 63 | 7.46693e-05
10 - 64 | -0.000855579
10 - 65 | 6.3457e-05
10 - 66 | 4.02926e-06
11 - 0 | -6.33029e-05
11 - 1 | -0.000550882
11 - 2 | 1.31302e-06
11 - 3 | 9.36239e-05
11 - 4 | 0.000424319
11 - 5 | -6.70856e-05
11 - 6 | -0.000162587
11 - 7 | 8.18761e-07
11 - 8 | -0.000236599
11 - 9 | 0.000919861
11 - 10 | -0.00305333
11 - 11 | 0.0106671
11 - 12 | -0.00384949
11 - 13 | 0.000648751
11 - 14 | -1.01241e-06
11 - 15 | 0.000287932
11 - 16 | -0.000479965
11 - 17 | 0.00103881
11 - 18 | -0.00154918
11 - 19 | 0.000506444
11 - 20 | 3.72598e-05
11 - 21 | -1.3865e-06
11 - 22 | 0.00029401
11 - 23 | 0.000510803
11 - 24 | -0.000828021
11 - 25 | -6.48847e-05
11 - 26 | 0.00170803
11 - 27 | 0.000819606
11 - 28 | -0.000326447
11 - 29 | -4.94355e-06
11 - 30 | 9.77606e-06
11 - 31 | 0.000416443
11 - 32 | -0.000823261
11 - 33 | -0.000677603
11 - 34 | -0.000580821
11 - 35 | 0.00152752
11 - 36 | -0.000600639
11 - 37 | 0.000410293
11 - 38 | -1.32962e-06
11 - 39 | -0.000166415
11 - 40 | 0.00105818
11 - 41 | 0.0022318
11 - 42 | -0.00146036
11 - 43 | 0.00125158
11 - 44 | -0.000355184
11 - 45 | -0.000200667
11 - 46 | 8.75339e-06
11 - 47 | 0.000156595
11 - 48 | -0.000380813
11 - 49 | -0.0011606
11 - 50 | 0.00287388
11 - 51 | -0.00166782
11 - 52 | -0.000716015
11 - 53 | -0.000359032
11 - 54 | 0.00105909
11 - 55 | -6.1647e-05
11 - 56 | 0.00040625
11 - 57 | -2.00457e-05
11 - 58 | -0.000293127
11 - 59 | 0.000381987
11 - 60 | -0.000440522
11 - 61 | -0.000205193
11 - 62 | 0.00019245
11 - 63 | -0.000710998
11 - 64 | 0.00112152
11 - 65 | -0.000285543
11 - 66 | 2.81679e-06
12 - 0 | -0.000460353
12 - 1 | 0.000856473
12 - 2 | -9.1357e-07
12 - 3 | -7.1205e-05
12 - 4 | 7.09615e-05
12 - 5 | 0.000111509
12 - 6 | -0.000233273
12 - 7 | -1.5314e-06
12 - 8 | -0.000144474
12 - 9 | 0.000580633
12 - 10 | 0.000532676
12 - 11 | -0.00384949
12 - 12 | 0.00994476
12 - 13 | -0.00396167
12 - 14 | 4.46138e-06
12 - 15 | 0.0005496
12 - 16 | -0.000307377
12 - 17 | -0.000877491
12 - 18 | 0.0016855
12 - 19 | -0.00163999
12 - 20 | 0.000439766
12 - 21 | 2.93127e-07
12 - 22 | -0.000800596
12 - 23 | -0.000449311
12 - 24 | 0.0011256
12 - 25 | -0.00201788
12 - 26 | 5.99353e-05
12 - 27 | 0.000865678
12 - 28 | -0.00086121
12 - 29 | 8.38633e-06
12 - 30 | 0.000363888
12 - 31 | 0.000331726
12 - 32 | -0.000899587
12 - 33 | 0.00237113
12 - 34 | 0.00146016
12 - 35 | -0.00214849
12 - 36 | 1.39117e-05
12 - 37 | -0.00019756
12 - 38 | 3.14012e-06
12 - 39 | 8.3725e-05
12 - 40 | 0.000926604
12 - 41 | -0.000150761
12 - 42 | -0.00216283
12 - 43 | 0.000950323
12 - 44 | -0.000126211
12 - 45 | -8.24474e-05
12 - 46 | -1.22519e-06
12 - 47 | -0.00022975
12 - 48 | -0.000306893
12 - 49 | -0.00119489
12 - 50 | -0.00152077
12 - 51 | 0.00055688
12 - 52 | 0.000354276
12 - 53 | 2.52412e-05
12 - 54 | -0.000412167
12 - 55 | 0.000564856
12 - 56 | -0.00021463
12 - 57 | -2.81601e-06
12 - 58 | 0.000470026
12 - 59 | -0.000173612
12 - 60 | 0.00129189
12 - 61 | -0.00134296
12 - 62 | 5.65061e-05
12 - 63 | 0.000815548
12 - 64 | -0.000877752
12 - 65 | -0.000147026
12 - 66 | 1.9353e-05
13 - 0 | 0.000221503
13 - 1 | -0.000593963
13 - 2 | 7.02087e-07
13 - 3 | -8.18778e-05
13 - 4 | 0.000251818
13 - 5 | -0.000359597
13 - 6 | 0.000320399
13 - 7 | -7.95481e-08
13 - 8 | -0.000100937
13 - 9 | -0.000358192
13 - 10 | -0.000174295
13 - 11 | 0.000648751
13 - 12 | -0.00396167
13 - 13 | 0.00433256
13 - 14 | -4.89972e-06
13 - 15 | -0.000381108
13 - 16 | 1.74833e-05
13 - 17 | 0.000383458
13 - 18 | -0.000911636
13 - 19 | 0.000863777
13 - 20 | -0.000565702
13 - 21 | 9.21934e-08
13 - 22 | 2.08971e-05
13 - 23 | 0.000619027
13 - 24 | -0.000725475
13 - 25 | -0.000732338
13 - 26 | 0.000124956
13 - 27 | -0.000405768
13 - 28 | 0.000415386
13 - 29 | -5.61552e-06
13 - 30 | -0.000223464
13 - 31 | 0.000461529
13 - 32 | 0.000886777
13 - 33 | -0.000320011
13 - 34 | 0.000292116
13 - 35 | -0.000135328
13 - 36 | 0.000592231
13 - 37 | 0.000132814
13 - 38 | 2.18539e-06
13 - 39 | -0.000194276
13 - 40 | -0.00121654
13 - 41 | -0.00132155
13 - 42 | 0.00145079
